Date,Product,Category,Units,Price
2024-01-05,Laptop Pro X,Electronics,12,8500
2024-01-10,Cotton T-Shirt,Clothing,80,400
2024-01-15,Instant Coffee,Food,120,150
2024-01-20,Wireless Earbuds,Electronics,25,1800
2024-01-25,Running Shoes,Clothing,30,950
2024-02-03,Laptop Pro X,Electronics,10,8500
2024-02-08,Instant Coffee,Food,200,150
2024-02-14,Cotton T-Shirt,Clothing,60,400
2024-02-18,Smart Watch,Electronics,18,3200
2024-02-22,Yoga Mat,Sports,45,600
2024-03-02,Laptop Pro X,Electronics,15,8500
2024-03-07,Wireless Earbuds,Electronics,40,1800
2024-03-12,Running Shoes,Clothing,50,950
2024-03-18,Instant Coffee,Food,180,150
2024-03-25,Smart Watch,Electronics,22,3200
2024-04-01,Cotton T-Shirt,Clothing,100,400
2024-04-06,Yoga Mat,Sports,60,600
2024-04-11,Laptop Pro X,Electronics,11,8500
2024-04-16,Wireless Earbuds,Electronics,35,1800
2024-04-22,Instant Coffee,Food,220,150
2024-05-03,Smart Watch,Electronics,28,3200
2024-05-09,Running Shoes,Clothing,70,950
2024-05-14,Laptop Pro X,Electronics,14,8500
2024-05-20,Cotton T-Shirt,Clothing,120,400
2024-05-27,Wireless Earbuds,Electronics,50,1800
2024-06-04,Instant Coffee,Food,250,150
2024-06-10,Yoga Mat,Sports,80,600
2024-06-15,Laptop Pro X,Electronics,9,8500
2024-06-21,Smart Watch,Electronics,20,3200
2024-06-28,Running Shoes,Clothing,40,950
2024-07-05,Wireless Earbuds,Electronics,60,1800
2024-07-11,Cotton T-Shirt,Clothing,90,400
2024-07-17,Instant Coffee,Food,300,150
2024-07-23,Laptop Pro X,Electronics,13,8500
2024-07-29,Smart Watch,Electronics,24,3200
2024-08-06,Running Shoes,Clothing,85,950
2024-08-12,Wireless Earbuds,Electronics,70,1800
2024-08-18,Laptop Pro X,Electronics,16,8500
2024-08-24,Instant Coffee,Food,280,150
2024-08-30,Yoga Mat,Sports,100,600
2024-09-05,Smart Watch,Electronics,30,3200
2024-09-11,Cotton T-Shirt,Clothing,110,400
2024-09-17,Laptop Pro X,Electronics,14,8500
2024-09-23,Wireless Earbuds,Electronics,65,1800
2024-09-29,Running Shoes,Clothing,55,950
2024-10-05,Laptop Pro X,Electronics,20,8500
2024-10-11,Smart Watch,Electronics,35,3200
2024-10-17,Wireless Earbuds,Electronics,80,1800
2024-10-23,Cotton T-Shirt,Clothing,150,400
2024-10-29,Instant Coffee,Food,350,150
2024-11-04,Running Shoes,Clothing,60,950
2024-11-10,Laptop Pro X,Electronics,15,8500
2024-11-16,Yoga Mat,Sports,90,600
2024-11-22,Smart Watch,Electronics,28,3200
2024-11-28,Wireless Earbuds,Electronics,55,1800
2024-12-05,Cotton T-Shirt,Clothing,80,400
2024-12-11,Laptop Pro X,Electronics,12,8500
2024-12-17,Instant Coffee,Food,200,150
2024-12-23,Smart Watch,Electronics,22,3200
2024-12-29,Wireless Earbuds,Electronics,40,1800
2026-04-01,Laptop,Electronics,21,10000
